day,crude_flow
1,79.4
2,82.1
3,81.8
4,74.9
5,70.0
6,75.0
7,72.0
8,61.0
9,59.0
10,63.8
11,76.3
12,80.8
13,78.0
14,76.1
15,78.1
16,88.7
17,82.3
18,81.7
19,82.3
20,72.0
21,79.6
22,81.2
23,79.1
24,78.7
25,78.6
26,80.1
27,78.5
28,79.6
29,77.5
30,74.6
31,72.2
32,72.1
33,60.6
34,63.6
35,68.8
36,70.1
37,75.2
38,80.4
39,76.6
40,76.0
41,69.3
42,70.5
43,78.6
44,79.4
45,70.5
46,76.2
47,76.1
48,67.7
49,67.9
50,72.0
51,75.8
52,70.1
53,63.3
54,66.9
55,64.1
56,65.3
57,67.6
58,77.0
59,82.4
60,79.1
61,70.4
